churn,genre_H,espace_client_web_1.0,assurance_vie_1.0,banque_principale_1.0,compte_epargne_1.0,credit_autres_bail,credit_autres_consommation,credit_autres_permanent,cartes_bancaires_basic,cartes_bancaires_medium,cartes_bancaires_premium,compte_courant_0,compte_courant_1,compte_courant_inconnu,compte_joint_0,compte_joint_1,compte_joint_inconnu,PEA_0,PEA_1,PEA_inconnu,assurance_auto_0,assurance_auto_1,assurance_auto_inconnu,assurance_habitation_0,assurance_habitation_1,assurance_habitation_inconnu,credit_immo_0,credit_immo_1,credit_immo_inconnu,type_pro,compte_titres_1.0,methode_contact_courrier,methode_contact_mail,methode_contact_sms,methode_contact_telephone,segment_client_A1,segment_client_A2,segment_client_A3,segment_client_A4,segment_client_B1,segment_client_B2,segment_client_B3,segment_client_B4,segment_client_C1,segment_client_C2,segment_client_C3,segment_client_C4,segment_client_D1,segment_client_D2,segment_client_D3,anciennete_mois,agios_6mois,interet_compte_epargne_total,age,var_0,var_18,var_19,var_20,var_37,var_38
0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,54.4,957.1,34.0,1522.096015431157,33376.13078783193,36339.10175595179,288.24894092448574,14975.44485721555,12188.463551902783
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,76.4,838.7,39.0,6766.458033140432,41110.92381213994,43681.60109659231,1231.0508367804457,21317.76067472928,20310.39071015612
0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,57.65,992.7,38.0,8397.925513341946,36507.577446290365,37868.52265853802,1863.4231643946025,14729.684561325726,17833.71015837417
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.85,256.6,27.0,1263.5544341388056,51909.35418759848,51014.6283522826,166.95898664476297,29935.823510095328,30787.963412082525
0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,68.8,4111.35,46.0,10062.781520378823,43989.54788548743,48057.14277588641,2659.3696324909542,28448.047472498594,21801.24724122042
0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,95.4,5812,94.0,21095.299528878357,52509.39925587081,53457.58970536023,7226.332204180821,33134.02613680099,32064.869824758483
1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.45,35.45,37.0,13082.89837399846,67772.72544238789,69418.39405134744,3256.815565099767,52571.02855696145,54787.625505739496
0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,19.05,761.85,21.0,10745.53691015756,54160.57868695948,54702.89083423314,1662.173345995782,28589.113037538365,34359.89513276299
0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,20.25,488.25,41.0,5363.003489380008,34275.189218012856,37351.31259883042,1439.6807966559877,12251.149974527449,15490.198874975886
0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,60.25,662.95,29.0,4704.055146536055,55083.60312857858,55745.16270155358,1134.2167450488182,31169.514231996032,32640.788131495243
